Date Added,category,sellerlink,sellerlink-url,sellerstorefront-url,sellerproductcount,sellerratings,sellerdetails,seller business name,businessaddress,Count of seller brands,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,Hero Product 1 #ratings,Hero Product 2 #ratings,Sample brand name,Sample Brand URL
15-Nov-20,Garden,Seller 11,Seller 11-link,Seller 11-storefrontlink,"1-16 of over 4,000 results",100% positive lifetime (3 total ratings),888hahahahahaha is committed to providing each customer with the highest standard of customer service.,Business Name:LinFenJingJiKaiFaQuGaoWeiWeiPiJuDian,KaiFaQuHeFenLuWuZhouGuoJiGuangChang2CengL221HaoLinFenShanXiSheng041000CN,15,0,0,0,2,0,TYXTYX,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=TYXTYX
15-Nov-20,Garden,Seller 12,Seller 12-link,Seller 12-storefrontlink,"1-16 of over 1,000 results",63% positive lifetime (8 total ratings),88IrmaTay is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenshizhinengyifangkejiyouxiangongsi,longgangqulonggangjiedaoainanlu366haoqizhengyuanshangwuzhongxin803shenzhenguangdong518116CN,5,50,33,25,2,2,Wakauto,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Wakauto
15-Nov-20,Garden,Seller 13,Seller 13-link,Seller 13-storefrontlink,"1-16 of over 4,000 results",0% positive lifetime (1 total ratings),8IQZ5YI5FI is committed to providing each customer with the highest standard of customer service.,Business Name:beijingbeiheguojinonglinkejifazhanyouxiangongsi,beijingshichangpingquxiaotangshanzhenshashunlu88haoyuan2haolBEIJINGSHIBEIJINGSHI100001CN,15,100,100,100,8469,444,MGZDH,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=MGZDH
15-Nov-20,Garden,Seller 14,Seller 14-link,Seller 14-storefrontlink,"1-16 of over 1,000 results",,8iyuyjg is committed to providing each customer with the highest standard of customer service.,Business Name:pinghexianzhenyuanshangmaoyouxiangongsi,pinghexianbanzaizhenguangchengdonglu337-1haozhangzhoushifujiansheng363000CN,3,0,0,0,0,0,None branded,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=sporting-de&field-keywords=None+branded
15-Nov-20,Garden,Seller 15,Seller 15-link,Seller 15-storefrontlink,1-16 of 919 results,97% positive in the last 12 months (116 ratings),"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Oliver Mills
 9:PM
 An der Bundesstrasse 26
 33829 Borgholzhausen
 Deutschland
 Telefon: 015140008562
 E-Mail: webmaster@9pm-store.de
 USt-IdNr.: DE215752000
 
 Wir sind seit 01.08.2015 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de. Alternative Streitbeilegung: 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem L...",Business Name:Oliver Mills,Kaiserstr.12Borgholzhausen33829DE,15,0,0,3,1446,921,Unbekannt,https://www.amazon.de/-/en/Unbekannt/b/ref=bl_dp_s_web_19533614031?ie=UTF8&node=19533614031&field-lbr_brands_browse-bin=Unbekannt
15-Nov-20,Garden,Seller 16,Seller 16-link,Seller 16-storefrontlink,1-16 of 349 results,,95Hwangjz is committed to providing each customer with the highest standard of customer service.,Business Name:xiansulingnishangmaoyouxiangongsi,beilinqutaiyilumanchengguoji3haolou4lou10602shixianshishanxisheng710000CN,1,0,0,0,0,0,zhangjiawei,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=zhangjiawei
15-Nov-20,Garden,Seller 17,Seller 17-link,Seller 17-storefrontlink,"1-16 of over 60,000 results",100% positive lifetime (2 total ratings),980 uiyp is committed to providing each customer with the highest standard of customer service.,Business Name:guanyunmomomaoyiyouxiangongsi,shuguangshequbaihuaxiang12haoyishanzhenguanyunxian222200CN,16,0,0,0,12,7,Shishij1,https://www.amazon.de/-/en/s/ref=bl_sl_s_ap_web_77028031?ie=UTF8&node=77028031&field-brandtextbin=Shishij1
15-Nov-20,Garden,Seller 18,Seller 18-link,Seller 18-storefrontlink,"1-16 of over 20,000 results",,98798484dsadasdsag is committed to providing each customer with the highest standard of customer service.,Business Name:qingdaoershiershijibudongchandailiyouxiangongsi,jutangxialu33haohaixiahuayuannaAhao-113shinanquqingdaoshi266000CN,9,0,0,0,0,0,VFGHH,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=VFGHH
15-Nov-20,Garden,Seller 19,Seller 19-link,Seller 19-storefrontlink,"1-16 of over 1,000 results",67% positive lifetime (9 total ratings),99gaodashang is committed to providing each customer with the highest standard of customer service.,Business Name:zhengzhoutianmengxingjinchukoumaoyiyouxiangongsi,yinronghuayuan22haolou1danyuan7ceng28haozhongyuanqutongbaibeilu101haozhengzhoushihenansheng450000CN,1,67,50,33,12,4,WODT,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=WODT
15-Nov-20,Garden,Seller 20,Seller 20-link,Seller 20-storefrontlink,,76% positive in the last 12 months (3721 ratings),"Impressum: ABC-Schnäppchenmarkt GmbH 
 Jösser Weg 10
 32469 Petershagen-Windheim
 Deutschland 
 
 Tel.: 0570591155
 Fax: 0570591156
 E-Mail: abc-markt@web.de 
 
 Registergericht: Amtsgericht Bad Oeynhausen 
 Registernummer: HRB 10862 
 
 Geschäftsführer: Thomas Wiebke 
 
 Umsatzsteuer-Identifikationsnummer gemäß § 27 a Umsatzsteuergesetz: DE 213823102  Den anklickbaren Link zur Plattform der EU-Kommission zur Online Streitbeilegung erreichen Sie, indem Sie auf den Nachfolgenden Punkt ""Mehr lesen"" klicken Wir...",Business Name:ABC-Schnäppchenmarkt GmbH,Jösser Weg10Petershagen32469DE,0,18,20,20,0,0,Visit the TFA Dostmann Store,https://www.amazon.de/-/en/stores/TFA+Dostmann+GmbH+%26+Co+KG/page/EAF5F066-D2DC-42AB-8D1D-9E5898BCA26D?ref_=ast_bln
15-Nov-20,Garden,Seller 21,Seller 21-link,Seller 21-storefrontlink,1-16 of 123 results,,AllSparesEire is committed to providing each customer with the highest standard of customer service.,Business Name:All Terrain Ireland,WEXFORDGOREY46 MAIN STY25T2N4IE,14,0,0,0,837,787,Mountfield Outdoor Spares,https://www.amazon.de/-/en/Mountfield-Outdoor-Spares/b/ref=bl_dp_s_web_9440109031?ie=UTF8&node=9440109031&field-lbr_brands_browse-bin=Mountfield+Outdoor+Spares
15-Nov-20,Garden,Seller 22,Seller 22-link,Seller 22-storefrontlink,,92% positive in the last 12 months (181 ratings),"Firmenwortlaut: GURU2016GmbH
 Geschäftsführung: Stefan Schnidar, MSc.
 Firmenanschrift:Packer Hauptstraße 8
 A-8582 Rosental an der Kainach
 
 eMail: (Support, Versand)support@bauguru.at
 Mo-Fr 08:00 Uhr -12:00 Uhr
 eMail: (Geschäftsführung)office@bauguru.at
 Web: bauguru.at
 
 Bankverbindung: Raiffeisenbank Lipizzanerheimat
 IBAN: AT78 3848 7000 0038 6060 BIC:   RZSTAT2G487
 
 Geschäftszweig:Handelsgewerbe
 Zuständiges Gericht: Landesgericht Graz
 Firmenbuch:  466186v
 Registernummer:  586378
USt-Steuer-ID: AT...",Business Name:GURU 2016 GmbH,"BAUGURU, GURU 2016 GmbHWarenannahme Vogl Baumarkt GmbHRosental an der KainachSteiermark8582AT",0,0,7,6,0,0,Visit the tesa Store,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln
15-Nov-20,Garden,Seller 23,Seller 23-link,Seller 23-storefrontlink,"1-16 of over 40,000 results",100% positive in the last 12 months (10 ratings),Bestof Floral is committed to providing each customer with the highest standard of customer service.,Business Name:MADEWELL SUPPLY INC,90 BROAD ST 2ND FLOORNEW YORKNY10004-2205US,16,0,0,0,10538,8293,Visit the Seville Classics Store,https://www.amazon.de/-/en/stores/Seville+Classics/page/E8D49E5C-1784-4FF1-A92A-C8B52AF7F532?ref_=ast_bln
15-Nov-20,Garden,Seller 24,Seller 24-link,Seller 24-storefrontlink,"1-16 of over 100,000 results",88% positive in the last 12 months (3134 ratings),"Blumenbecker Industriebedarf GmbH Sudhoferweg 99-107 59269 Beckum Geschäftsführer: Dipl. Kfm. Richard Mayer, Olaf Lingnau Handelsregister: Amtsgericht Münster HRB 7020 Ust-IdNr: DE 214 670 936 Telefon: 02521/8406-0 E-Mail: bib.beckum@blumenbecker.com   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa...",Business Name:Blumenbecker Industriebedarf GmbH,Sudhoferweg 99-107BeckumNRW59269DE,15,15,12,10,30139,11182,Visit the tesa Store,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln
15-Nov-20,Garden,Seller 25,Seller 25-link,Seller 25-storefrontlink,"1-16 of over 3,000 results",97% positive in the last 12 months (610 ratings),"Herzlich willkommen auf unserer Internetpräsents.
     
     
 
     Wir sind ein alt eingesessenes Blumen-Fachgeschäft im Herzen von Korntal.
     

     Unser Ziel im Internet ist es, ihnen eine gute Qualität kombiniert mit kompetenter Beratung zukommen zu lassen.
     

     
     

     Lassen Sie sich bei der Verschönerung ihres Gartens bei einem Rundgang durch unsere virtuellen Verkaufsräume inspirieren und kompetent beraten.
     

      
     

     Unsere Schwerpunkte im Internet:
      
     

     Rasensamen
     

     Blumenzwiebeln
     

     Sämereien allgemein

     BIO Sämereien
     

     Pflanzenschutz von Bayer
     

     
     Chrysal D...",Business Name:Jörg Müller & Petra Scheerer GbR,Miranderstr.21Korntal-Münchingen70825DE,15,3,1,2,3286,3079,Neudorff,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Neudorff
15-Nov-20,Garden,Seller 26,Seller 26-link,Seller 26-storefrontlink,"1-16 of over 2,000 results",98% positive in the last 12 months (1488 ratings),"Gesetzliche Anbieterkennung: boni-shop.com OHG
 Wissmannstraße 58
 27755 Delmenhorst
 Deutschland
 Vertretungsberechtigte Gesellschafter: Klaas Niermann, Jens Böckenhauer, Christian Böttcher
 Telefon: 04221 45 777 00
 Telefax: 04221 45 777 10
 E-Mail: amazon@boni-shop.com
 USt-IdNr.: DE 283905130
 eingetragen im Handelsregister des Amtsgerichtes Oldenburg
 Handelsregisternummer HRA 206702 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa....",Business Name:boni-shop.com OHG,Wissmannstrasse58Delmenhorst27755DE,15,1,1,1,2128,1759,Nexa Lotte,https://www.amazon.de/-/en/Nexa-Lotte/b/ref=bl_dp_s_web_18437295031?ie=UTF8&node=18437295031&field-lbr_brands_browse-bin=Nexa+Lotte
15-Nov-20,Garden,Seller 27,Seller 27-link,Seller 27-storefrontlink,"1-16 of over 60,000 results",79% positive in the last 12 months (119 ratings),Bristol Fashion is committed to providing each customer with the highest standard of customer service.,Business Name:Bristol Fashion,3744 E Calle BarcelonaTUCSONAZ85716-5116US,16,29,22,18,37716,13566,Ray-Ban,https://www.amazon.de/-/en/Ray-Ban/b/ref=bl_dp_s_web_1683475031?ie=UTF8&node=1683475031&field-lbr_brands_browse-bin=Ray-Ban
15-Nov-20,Garden,Seller 28,Seller 28-link,Seller 28-storefrontlink,,86% positive in the last 12 months (21 ratings),Budify is committed to providing each customer with the highest standard of customer service.,Business Name:Adrián Aparicio Vera,"Calle Poeta Manuel Benítez Carrasco 32, 3 ASEVILLAESPAÑA41013ES",0,0,0,10,0,0,Visit the Wolfcraft Store,https://www.amazon.de/-/en/stores/Wolfcraft+GmbH/page/3F25C79D-7429-4C03-8120-1F58A7EBB717?ref_=ast_bln
15-Nov-20,Garden,Seller 29,Seller 29-link,Seller 29-storefrontlink,"1-16 of over 1,000 results",76% positive in the last 12 months (17 ratings),charglius is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenshi hualincai maoyi youxian gongsi,bantianjiedao wuhedadao yabaolu1hao xingheyinhuguhuayuan3dongBzuo4803longgangqushenzhenshi518000CN,15,0,0,24,164,21,CLIUS,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=diy&field-keywords=CLIUS
15-Nov-20,Garden,Seller 30,Seller 30-link,Seller 30-storefrontlink,,75% positive in the last 12 months (596 ratings),Dataanalyst is committed to providing each customer with the highest standard of customer service.,Business Name:Shenzhenshi Longdan Keji Youxiangongsi,Longgangqu Bantianjiedao NankengshequWuhedadao(nan) 36hao Xingjingyuan A302ShenzhenGuangdong518129CN,0,27,30,23,0,0,vidaXL,https://www.amazon.de/-/en/vidaXL/b/ref=bl_dp_s_web_20038948031?ie=UTF8&node=20038948031&field-lbr_brands_browse-bin=vidaXL
15-Nov-20,Garden,Seller 31,Seller 31-link,Seller 31-storefrontlink,"1-16 of over 1,000 results",99% positive in the last 12 months (1739 ratings),"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Daniel Vogeley und Christopher Joachim Gemander GbR
 vertreten durch die Gesellschafter: Daniel Vogeley, Christopher Joachim Gemander
 Auf der Insel 20
 50259 Pulheim
 Deutschland
 Telefon: 022342509631
 
 E-Mail: info@deinegartenwelt.de
 USt-IdNr.: DE316235833
 
 
 Wir sind seit 04.04.2018 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de.
   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegu...",Business Name:Daniel Vogeley und Christopher Gemander GbR,Auf der Insel 20Pulheim50259DE,6,0,1,1,764,599,Visit the Deine Gartenwelt Store,https://www.amazon.de/-/en/stores/DeineGartenwelt/page/29C6D599-802D-4BC7-9B9D-1B2120839034?ref_=ast_bln
15-Nov-20,Garden,Seller 32,Seller 32-link,Seller 32-storefrontlink,"1-16 of over 80,000 results",82% positive in the last 12 months (38 ratings),DINAN is committed to providing each customer with the highest standard of customer service.,Business Name:Dinan LLC,13300 ATLANTIC BLVD APT 416JACKSONVILLEFL32225-6131US,16,0,9,18,10907,8836,Visit the Umbra Store,https://www.amazon.de/-/en/stores/Umbra/page/43991FD4-1C3C-4688-A9A5-2626B1F05564?ref_=ast_bln
15-Nov-20,Garden,Seller 33,Seller 33-link,Seller 33-storefrontlink,,87% positive in the last 12 months (294 ratings),Flukey LLC is committed to providing each customer with the highest standard of customer service.,Business Name:Flukey LLC,13700 Sutton Park Dr Napt 712JacksonvilleFLORIDA32224-4202US,0,13,10,11,0,0,Visit the Room Copenhagen Store,https://www.amazon.de/-/en/stores/Room+Copenhagen+Brand+Store/page/B2FCA10C-60B8-48CE-9BCE-FAD926DC666A?ref_=ast_bln
15-Nov-20,Garden,Seller 34,Seller 34-link,Seller 34-storefrontlink,"1-16 of over 100,000 results",85% positive in the last 12 months (75 ratings),"Vor- und Nachname des Unternehmensvertreters: Rizhi Jiang Name des Unternehmens: HOJC INC Firmenanschrift: 230 PARK AVE FL 10 NEW YORK NY 10169-0499 Telefonnummer: 720-532-4411 Email: Granaryvin@gmail.com Steuerinformation: EIN: 81-3873597 VAT: GB300 3785 38 
The European Commission provides for an Online Dispute Resolution Platform, which you can access here: https://ec.europa.eu/consumers/odr/

Please see the following link for the nationally appointed Alternative Dispute Resolution bodies contac...",Business Name:Tkog Iwy INC,708 3RD AVE FL 6THNew YorkNY10017-4201US,16,0,0,13,5262,3632,"Tightpac America, Inc.",https://www.amazon.de/-/en/Tightpac-America-Inc/b/ref=bl_dp_s_web_5477387031?ie=UTF8&node=5477387031&field-lbr_brands_browse-bin=Tightpac+America%2C+Inc.
15-Nov-20,Garden,Seller 35,Seller 35-link,Seller 35-storefrontlink,1-16 of 42 results,90% positive lifetime (10 total ratings),"HOCK Design e.K.

Kölner Strasse 45

51766 Engelskirchen

Germany



Tel.: 02262-7075160



amazon@hockdesign.de

 hockdesign.de

HRA 32177 Amtsgericht Köln

Inhaber: Kristof Hock",Business Name:HOCK Design e.K.,Kölner Strasse45Engelskirchen51766DE,2,0,0,0,213,212,VLUV,https://www.amazon.de/-/en/VLUV/b/ref=bl_dp_s_web_17707474031?ie=UTF8&node=17707474031&field-lbr_brands_browse-bin=VLUV
15-Nov-20,Garden,Seller 36,Seller 36-link,Seller 36-storefrontlink,"1-16 of over 10,000 results",86% positive in the last 12 months (891 ratings),ISE Forest & Garden is committed to providing each customer with the highest standard of customer service.,Business Name:International Systems and Equipment Ltd.,Unit 6Hebron Industrial EstateKilkennyKilkenny0000IE,15,18,11,12,7145,2111,Oregon,https://www.amazon.de/-/en/Oregon/b/ref=bl_dp_s_web_1691497031?ie=UTF8&node=1691497031&field-lbr_brands_browse-bin=Oregon
15-Nov-20,Garden,Seller 37,Seller 37-link,Seller 37-storefrontlink,"1-16 of over 50,000 results",91% positive in the last 12 months (5150 ratings),"IMPRESSUM 
 itenga GmbH
 Am Umspannwerk 2
 66557 Illingen
 Deutschland Tel: 06825 / 89697-0 Fax: 06825 / 89697-20 E-Mail: info@itenga.de Geschäftsführer: Thomas Meiser Registergericht: Amtsgericht Saarbrücken
 Registernummer: HRB 17443 Umsatzsteuer-Identifikationsnummer gemäß § 27 a Umsatzsteuergesetz: DE815026868 WEEE-Registrationsnummer: DE 56344043 
 Plattform der EU-Kommission zur Online-Streitbeilegung: ec.europa.eu/consumers/odr Wir sind zur Teilnahme an einem Streitbeilegungsverfahren vor einer...",Business Name:itenga GmbH,itenga GmbHAm Umspannwerk 2Illingen66557DE,15,7,8,8,40683,18910,Visit the Vileda Store,https://www.amazon.de/-/en/stores/Vileda+GmbH+%28Parent%29/page/896A5CC5-618B-4EF0-8CAB-386A728A418E?ref_=ast_bln
15-Nov-20,Garden,Seller 38,Seller 38-link,Seller 38-storefrontlink,"1-16 of over 10,000 results",93% positive in the last 12 months (120 ratings),"IMPRESSUM   Johannes Zierleyn KG
 Am Schweinemarkt 3
 48529 Nordhorn
 Telefon: +49 5921 834011
Fax: +49 5921 834044
 E-Mail: nils.holm@zierleyn.de
 Johannes Zierleyn KG wird vertreten durch: Geschäftsführung  Peter Holm     Registergericht: Amtsgericht Osnabrück
 Handelsregister
 Registernummer: HRB 130013     Umsatzsteuer-Identifikationsnummer gemäß § 27a Umsatzsteuergesetz:   DE117046865 

Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.eur...",Business Name:Johannes Zierleyn KG,Johannes Zierleyn KGAm Schweinemarkt 3Nordhorn48529DE,16,18,11,4,40684,13311,Visit the TFA Dostmann Store,https://www.amazon.de/-/en/stores/TFA+Dostmann+GmbH+%26+Co+KG/page/EAF5F066-D2DC-42AB-8D1D-9E5898BCA26D?ref_=ast_bln
15-Nov-20,Garden,Seller 39,Seller 39-link,Seller 39-storefrontlink,"1-16 of over 8,000 results",,k_hjk5jHh6 is committed to providing each customer with the highest standard of customer service.,Business Name:zhongshanshibeiyishanfushiyouxiangongsi,shaxizhenyunhancunqingyunlu31hao4louzhi2zhongshanshiguangdongsheng528471CN,2,0,0,0,0,0,N\A,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=N%5CA
15-Nov-20,Garden,Seller 40,Seller 40-link,Seller 40-storefrontlink,"1-16 of over 3,000 results",100% positive lifetime (1 total ratings),ka mo xi is committed to providing each customer with the highest standard of customer service.,Business Name:fen yang shi jin lian ca xie dian,sheng li lu170 haofen yang shishan xi sheng032200CN,16,0,0,0,49,0,Q&Y-Klappstuhl,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Q%26Y-Klappstuhl
15-Nov-20,Garden,Seller 41,Seller 41-link,Seller 41-storefrontlink,1-16 of 302 results,99% positive in the last 12 months (520 ratings),"Impressum

Gesetzliche Anbieterkennung:

Elektrotechik Falk GbR
vertreten durch die Gesellschafter: Edwin Falk, Eugen Falk
Im Schönblick 16
51597 Morsbach
Deutschland

Telefon: 022939011211
E-Mail: info@kabel-licht.de

USt-IdNr.: DE 275645882

Alternative Streitbeilegung:

Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform)bereit, aufrufbar unter /ec.europa.eu/odr.

Wir sind bereit, an Streitbeilegungsverfahren vor Verbraucherschlichtungsstellen teilzune...",Business Name:Elektrotechnik Falk GbR,Im Schönblick 16MorsbachNRW51597DE,8,0,1,1,370,141,ETF,https://www.amazon.de/-/en/ETF/b/ref=bl_dp_s_web_10136917031?ie=UTF8&node=10136917031&field-lbr_brands_browse-bin=ETF
15-Nov-20,Garden,Seller 42,Seller 42-link,Seller 42-storefrontlink,"1-16 of over 2,000 results",,KAEZ shou is committed to providing each customer with the highest standard of customer service.,Business Name:wenjiangquxinwenqishangmaobu,sichuanshengchengdushiwenjiangquliuchengdadaoxiduan218haochengdusichuan610051CN,1,0,0,0,1,1,NMBC,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=NMBC
